station_id,x,y,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,culex modestus,no_pools,poolsize,no_pos_pools,wnv_mir,region,culex.spp,culex.pipiens,dt_placement_original,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
N01 Lampertheim,8.437625,49.592503,2024-05-26,24,5,2024,,,,,,,,,,,,,0,,,,,Germany,701,701,2024-06-10,2024-05-25,49.5937410480328,8.437426306093343,0.6673814629497259,0.3697396750831866,-0.5516629711751663,-0.3697396750831866,0.5869791339529626,0.314083338638842,-0.4851888666085935,-0.314083338638842,0.11499887559642467,0.06846593306750276,0.07283007410683062,0.06846593306750276,2024-05-26,49.59374104803281,8.437426306093343,14743.0,14299.0,49.59374104803281,8.437426306093343,13720.636363636364,13516.6875,13956.25,13772.666666666664,14145.5,13703.454545454546,14383.625,13675.166666666664,2024-05-26,49.55022665566566,8.450038652681632,340.03140195886647,2024-05-19,2024-05-12,2024-05-19,2024-04-28,40.5735707776621,105.64934064645786
N02 Nordheim,8.382213,49.700655,2024-05-26,24,5,2024,,,,,,,,,,,,,0,,,,,Germany,495,495,2024-06-10,2024-05-25,49.70153888212715,8.38352738904617,0.6793388429752065,0.3740340030911901,-0.5586237124698663,-0.3740340030911901,0.5101782868492387,0.3499537072107727,-0.4056037226839913,-0.3499537072107727,0.2058048850012132,0.1121172969275231,0.19879049377871888,0.1121172969275231,2024-05-26,49.70153888212715,8.38352738904617,14697.0,14297.0,49.70153888212715,8.383527389046169,13788.444444444443,13532.75,14014.666666666664,13689.75,14181.875,13864.0,14249.9,13727.5,2024-05-26,49.750227570522036,8.350038195253449,315.1634038980858,2024-05-19,2024-05-12,2024-05-19,2024-04-28,61.23992041926249,102.78280844783876
N03 Gernsheim,8.458288,49.738154,2024-05-26,24,5,2024,,,,,,,,,,,,,0,,,,,Germany,441,441,2024-06-10,2024-05-25,49.73747149349194,8.459884188196332,0.7296870891401526,0.37932480603900187,-0.5911949685534591,-0.37932480603900187,0.5977259760791891,0.3754336060251843,-0.4827864561066479,-0.3754336060251843,0.17048713211490188,0.06560537528871757,0.16153671202986775,0.06560537528871757,2024-05-26,49.73747149349194,8.459884188196334,14468.0,14308.0,49.73747149349194,8.459884188196334,13803.428571428569,13517.571428571431,13967.571428571431,13726.0,14174.9,13767.636363636364,14250.75,13842.428571428569,2024-05-26,49.750227570522036,8.450038652681632,357.2800066656025,2024-05-19,2024-05-12,2024-05-19,2024-04-28,79.85933432984166,139.16737321403343
N04 Stockstadt,8.461155,49.813561,2024-05-26,24,5,2024,,,,,,,,,,,,,0,,,,,Germany,364,364,2024-06-10,2024-05-25,49.81382829264211,8.459884188196332,0.7382063245204771,0.416561047739755,-0.5966666666666667,-0.416561047739755,0.6826130460415533,0.3303761756454073,-0.5524635642150939,-0.3303761756454073,0.10606150481531196,0.09565177576579877,0.0802361713434264,0.09565177576579877,2024-05-26,49.81382829264211,8.459884188196334,14342.0,14275.0,49.81382829264211,8.459884188196334,13731.125,13412.125,14036.666666666664,13663.25,14222.083333333336,13898.857142857143,14382.142857142857,13820.833333333336,2024-05-26,49.850228027950216,8.450038652681632,336.4209368619487,2024-05-19,2024-05-12,2024-05-19,2024-04-28,79.80640263366513,133.57671881769784
N05 Knoblochsaue,8.41138,49.825157,2024-05-26,24,5,2024,,,,,,,,,,,,,1,,,,,Germany,23,22,2024-06-10,2024-05-25,49.82730302190389,8.410476847569754,0.7899565427329793,0.3716928769657725,-0.6482881280569142,-0.3716928769657725,0.7619934413921765,0.4047845694671636,-0.6149809709326836,-0.4047845694671636,0.01987482347656655,0.0519948238623396,0.023847970764781845,0.0519948238623396,2024-05-26,49.82730302190391,8.410476847569756,14243.0,14278.0,49.82730302190391,8.410476847569756,13657.666666666664,13467.25,13947.5,13665.5,14150.666666666664,13824.2,14328.714285714286,13815.571428571431,2024-05-26,49.850228027950216,8.450038652681632,336.4209368619487,2024-05-19,2024-05-12,2024-05-19,2024-04-28,79.80640263366513,133.57671881769784
N06 Wolfskehlen,8.520021,49.863317,2024-05-26,24,5,2024,,,,,,,,,,,,,0,,,,,Germany,6,6,2024-06-10,2024-05-25,49.86323563326869,8.518274681664106,0.6506687647521637,0.3611591695501731,-0.542269051703014,-0.3611591695501731,0.6664959261794974,0.3600295933287804,-0.5488628451371451,-0.3600295933287804,0.0594104760847566,0.06483901979252935,0.04731617075600219,0.06483901979252935,2024-05-26,49.86323563326869,8.518274681664106,14787.0,14312.0,49.86323563326869,8.518274681664106,13742.25,13449.0,14035.0,13646.666666666664,14130.625,13880.125,14450.375,13842.333333333336,2024-05-26,49.850228027950216,8.550039110109818,305.1262417845846,2024-05-19,2024-05-12,2024-05-19,2024-04-28,51.514271812629886,106.91321349143982
N07 Trebur,8.391339,49.924997,2024-05-26,24,5,2024,,,,,,,,,,,,,0,,,,,Germany,128,128,2024-06-10,2024-05-25,49.92611770315706,8.392510541887361,0.7594765342960288,0.4274208310452133,-0.6245833333333333,-0.4274208310452133,0.6727341982703362,0.34953244389100235,-0.5598865009965986,-0.34953244389100235,0.07245463991912864,0.07485560801220133,0.0463360193110716,0.07485560801220133,2024-05-26,49.92611770315706,8.392510541887361,14587.0,14229.0,49.92611770315706,8.392510541887361,13806.222222222224,13420.272727272728,14091.0,13559.4,14234.714285714286,13828.636363636364,14362.833333333336,13774.125,2024-05-26,49.9502284853784,8.350038195253449,320.9437839312501,2024-05-19,2024-05-12,2024-05-19,2024-04-28,76.7696546720108,121.3940384620364
N08 Ginsheim Gustavsburg,8.326382,49.977965,2024-05-26,24,5,2024,,,,,,,,,,,,,0,,,,,Germany,59,59,2024-06-10,2024-05-25,49.98001662020423,8.325136895578392,0.6358511837655018,0.2943800178412132,-0.5281727224855186,-0.2943800178412132,0.4958337176159053,0.2528467853791011,-0.4103465737257387,-0.2528467853791011,0.15376585547518054,0.1075544454657966,0.15067267011758875,0.1075544454657966,2024-05-26,49.98001662020424,8.325136895578392,14567.0,14338.0,49.98001662020424,8.325136895578392,13806.111111111111,13564.714285714286,14054.4,13469.428571428569,14075.0,13923.888888888889,14373.375,13931.5,2024-05-26,49.9502284853784,8.350038195253449,320.9437839312501,2024-05-19,2024-05-12,2024-05-19,2024-04-28,76.7696546720108,121.3940384620364
N09 Ingelheim,8.00816,49.985849,2024-05-26,24,5,2024,,,,,,,,,,,,,0,,,,,Germany,7,7,2024-06-10,2024-05-25,49.98450819662483,8.006234969715933,0.4611138986452584,0.425354870288791,-0.2771929824561404,-0.425354870288791,0.4123284701251476,0.4011618043268371,-0.25396005185001724,-0.4011618043268371,0.25875740504811723,0.08590268607499771,0.2830585798709012,0.08590268607499771,2024-05-26,49.98450819662485,8.006234969715935,14701.0,14312.0,49.984508196624844,8.006234969715935,13698.75,13598.076923076924,13958.0,13783.0,14148.428571428569,13929.625,14418.0,13891.25,2024-05-26,49.9502284853784,8.050036822968893,287.9250702867639,2024-05-19,2024-05-12,2024-05-19,2024-04-28,48.19277178015909,84.31590674023028
N10 Mombach,8.192783,50.032849,2024-05-26,24,5,2024,,,,,,,,,,,,,0,,,,,Germany,23,23,2024-06-10,2024-05-25,50.033915537251396,8.194881179381051,0.5956122146457161,0.292507204610951,-0.4684856753069578,-0.292507204610951,0.23131359029282905,0.5039997322502798,-0.034698544016805256,-0.5039997322502798,0.18977939047825174,0.038426707905609585,0.2074599384325683,0.038426707905609585,2024-05-26,50.033915537251424,8.194881179381051,14654.0,14299.0,50.033915537251424,8.194881179381051,13747.142857142857,13569.153846153846,13977.166666666664,13689.285714285714,14217.8,13923.888888888889,14298.714285714286,13874.0,2024-05-26,50.05022894280659,8.150037280397077,298.32896380268903,2024-05-19,2024-05-12,2024-05-19,2024-04-28,53.541118742126855,92.81562676520844
