"station_id","x","y","dt_placement","culex.spp","region","dt_placement_original","year","month","indices_image_date","indices_lat","indices_lon","ndvi","ndmi","ndwi","ndbi","ndvi_mean","ndmi_mean","ndwi_mean","ndbi_mean","ndvi_std","ndmi_std","ndwi_std","ndbi_std","lst_image_date","lst_lat","lst_lon","lst_day","lst_night","monthly_lst_lat","monthly_lst_lon","lst_jan_day_mean","lst_jan_night_mean","lst_feb_day_mean","lst_feb_night_mean","lst_mar_day_mean","lst_mar_night_mean","lst_apr_day_mean","lst_apr_night_mean","indices_image_date","indices_lat","indices_lon","acc_rainfall_jan","dt_placement_minus_7","dt_placement_minus_14","dt_placement_minus_7_avail","dt_placement_minus_14_avail","acc_rainfall_1week","acc_rainfall_2week"
"SG01 Söllingen",8.072794,48.78978,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.7897488687458,8.0736086160249,0.340400471142521,0.178663904712584,-0.17744438696327,-0.178663904712584,0.189451824518721,0.140838437052102,-0.0940569876248049,-0.140838437052102,0.0888885595175475,0.0513389404263151,0.0920317869455713,0.0513389404263151,2023-04-10,48.7897488687458,8.0736086160249,14075,13930,48.7897488687458,8.0736086160249,13718.75,13501.4285714286,13884.75,13576.0833333333,14036.6666666667,13679.2857142857,14203.5,13817.7142857143,2023-04-10,48.7502229962402,8.05003682296889,118.124936287742,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,43.9834833797067
"SG02 Stollhofen",8.026841,48.770099,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.7717825630634,8.02869285181892,0.50474618241849,0.0985236517023199,-0.391603053435114,-0.0985236517023199,0.0932695592757089,0.0204081632653061,-0.0606562810739144,-0.0204081632653061,0,0,0,0,2023-04-10,48.7717825630634,8.02869285181892,14179,13948,48.7717825630634,8.02869285181892,13726.5,13559.7142857143,13863.7777777778,13598.7142857143,14038.8571428571,13769.2,14178.2727272727,13861.5714285714,2023-04-10,48.7502229962402,8.05003682296889,118.124936287742,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,43.9834833797067
"SG03 Greffern",7.985248,48.759098,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.7583078338016,7.98377708761294,0.421629347308242,0.0328833506403599,-0.318021201413428,-0.0328833506403599,0.320860045414648,0.0833010965308627,-0.194074231636489,-0.0833010965308627,0.173341400935327,0.109885868750954,0.227683995020091,0.109885868750954,2023-04-10,48.7583078338016,7.98377708761294,14211,13957,48.7583078338016,7.98377708761294,13789.25,13443.8,13876.9,13607.3846153846,14054.4444444444,13788.8,14244.5,13844.25,2023-04-10,48.7502229962402,7.95003636554071,111.283943705825,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,36.2152587720193
"SG04 Grauelsbaum",7.973691,48.751194,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.7493246809604,7.97479393477175,0.491803278688525,0.0405405405405405,-0.413841807909605,-0.0405405405405405,0.448173563459175,0.0409580289086358,-0.362646547440981,-0.0409580289086358,0.0398986154267925,0.0452167572711279,0.0438111270656213,0.0452167572711279,2023-04-10,48.7493246809604,7.97479393477175,14272,13941,48.7493246809604,7.97479393477175,13857,13441,13883.2,13583,14071.7,13791.6666666667,14281.5454545455,13786.5,2023-04-10,48.7502229962402,7.95003636554071,111.283943705825,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,36.2152587720193
"SB01 Freistett",7.934067,48.685016,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.686442611072,7.93436974698637,0.455236486486487,0.0547903275176003,-0.354559748427673,-0.0547903275176003,0.10185255241003,0.109523855078092,-0.00566953123367718,-0.109523855078092,0.0749654009433058,0.0165040849592102,0.0965895766548271,0.0165040849592102,2023-04-10,48.686442611072,7.93436974698637,14174,14002,48.686442611072,7.93436974698637,13977.6666666667,13543.125,13890.6363636364,13647.1666666667,14052.8,13724.1666666667,14232.5555555556,13799.25,2023-04-10,48.650222538812,7.95003636554071,103.212430830499,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,42.7504234116059
"SB02 Rheinbischofsheim",7.906248,48.667697,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.6684763053896,7.90742028846278,0.331203407880724,0.0964912280701754,-0.196744853997128,-0.0964912280701754,0.277892485632026,0.135936721189839,-0.166670957596537,-0.135936721189839,0.0636566352257924,0.0490468426346288,0.058855043634225,0.0490468426346288,2023-04-10,48.6684763053896,7.90742028846278,14096,13928,48.6684763053896,7.90742028846278,13919.6666666667,13478.1428571429,13878.7272727273,13608.9166666667,14054.6,13705.3333333333,14198.7777777778,13811.5714285714,2023-04-10,48.650222538812,7.95003636554071,103.212430830499,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,42.7504234116059
"SB03 Goldscheuer",7.804023,48.504416,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.5022879778275,7.80411403078903,0.424299065420561,0.163951120162933,-0.251231527093596,-0.163951120162933,0.339912147590723,0.171428519206956,-0.195091173392426,-0.171428519206956,0.217606761387327,0.126138979391908,0.264032042457398,0.126138979391908,2023-04-10,48.5022879778275,7.80411403078903,14304,13966,48.5022879778275,7.80411403078903,13813.5,13410.3,13928.3333333333,13628.75,14013.5714285714,13742,14212.4444444444,13761,2023-04-10,48.5502220813838,7.85003590811252,90.6518260242155,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,34.5626401361078
"SB04 Altenheim N",7.774556,48.475482,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.4753385193039,7.77267299584484,0.4739560912613,0.0486983154670751,-0.377867203219316,-0.0486983154670751,0.322232821700927,0.0885676699671572,-0.190768641383801,-0.0885676699671572,0.160108237774465,0.0593469707646807,0.188349286750143,0.0593469707646807,2023-04-10,48.4753385193039,7.77267299584484,14254,13933,48.4753385193039,7.77267299584484,13844.75,13366.1818181818,13929.3333333333,13649.8125,13946.5,13854.6,14191.3333333333,13842.5,2023-04-10,48.4502216239556,7.75003545068434,93.8428208939877,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,22.8581074862741
"SB05 Altenheim S",7.771718,48.459707,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.4618637900421,7.77267299584484,0.469350411710887,0.0479608482871126,-0.360440491317238,-0.0479608482871126,0.430180309230549,0.111533660767259,-0.324008160821893,-0.111533660767259,0.119145387842335,0.0652328893001794,0.143452514653414,0.0652328893001794,2023-04-10,48.4618637900421,7.77267299584484,14276,13979,48.4618637900421,7.77267299584484,13837,13424.6363636364,13901.5,13631.5625,14002.3333333333,13807.75,14146.625,13837,2023-04-10,48.4502216239556,7.75003545068434,93.8428208939877,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,22.8581074862741
"SB06 Ichenheim",7.765352,48.439419,2023-04-10,0,"Germany",2023-04-25,2023,4,2023-04-09,48.4394059079391,7.76368984300364,0.464826357969724,0.020788085634502,-0.370262390670554,-0.020788085634502,0.315745074131278,0.0681692406313766,-0.191387028836563,-0.0681692406313766,0.204359574087427,0.0844856754833387,0.262749226660779,0.0844856754833387,2023-04-10,48.4394059079391,7.76368984300364,14262,13980,48.4394059079391,7.76368984300364,13869.3333333333,13383,13912.3636363636,13608.875,14107.375,13770.6666666667,14183.125,13807.875,2023-04-10,48.4502216239556,7.75003545068434,93.8428208939877,2023-04-03,2023-03-27,2023-04-03,2023-03-27,0,22.8581074862741
